ih_name,parent_name,Page,Dataset name,Description
insecurity-insight-aidworkerKIKA-incidents,insecurity-insight-afg-dataset,"Afghanistan (AFG): Attacks on Aid Operations, Education and Health Care, and Explosive Weapons Incident Data",2020-[current year] AFG Aid Worker KIKA Incident Data,"Dataset covering 01 January 2020 to [to date] on aid workers [killed, injured, kidnapped, or arrested (KIKA)](https://insecurityinsight.org/projects/aid-in-danger/aid-security-digests) based on agency- and open source events."
insecurity-insight-healthcare-incidents,insecurity-insight-afg-dataset,"Afghanistan (AFG): Attacks on Aid Operations, Education and Health Care, and Explosive Weapons Incident Data",2016-[current year] AFG Attacks on Health Care Incident Data,Dataset covering 01 January 2016 to [to date] on [attacks on health care](https://insecurityinsight.org/projects/healthcare/monthlynewsbrief) based on agency- and open source events.
insecurity-insight-education-incidents,insecurity-insight-afg-dataset,"Afghanistan (AFG): Attacks on Aid Operations, Education and Health Care, and Explosive Weapons Incident Data",2020-[current year] AFG Education in Danger Incident Data,Dataset covering 01 January 2020 to [to date] on [attacks on education](https://insecurityinsight.org/projects/education-in-danger/education-in-danger-monthly-news-brief) based on agency- and open source events.
insecurity-insight-explosive-incidents,insecurity-insight-afg-dataset,"Afghanistan (AFG): Attacks on Aid Operations, Education and Health Care, and Explosive Weapons Incident Data","2020-[current year] AFG Explosive Weapons Monitor Data by Insecurity Insight","Dataset covering 01 January 2020 [to date] on incidents in which aid access, education and healthcare services were impacted by [explosive weapons](https://insecurityinsight.org/projects/explosive-weapons) based on agency- and open source events."
insecurity-insight-protection-incidents,insecurity-insight-bgd-dataset,Bangladesh (BGD): Attacks on IDP/Refugee Camps,2020-[current year] BGD Protection in Danger Incident Data,Dataset covering January 2020 to [to date] on threats and violence at [IDP/Refugee Camps](https://insecurityinsight.org/projects/ensuring-protection/protection-in-danger-monthly-news-brief-2) based on agency- and open source events.
insecurity-insight-aidworkerKIKA-incidents,insecurity-insight-bfa-dataset,"Burkina Faso (BFA): Attacks on Aid Operations, Education and Health Care",2020-[current year] BFA Aid Worker KIKA Incident Data,"Dataset covering 01 January 2020 to [to date] on aid workers [killed, injured, kidnapped, or arrested (KIKA)](https://insecurityinsight.org/projects/aid-in-danger/aid-security-digests) based on agency- and open source events."
insecurity-insight-healthcare-incidents,insecurity-insight-bfa-dataset,"Burkina Faso (BFA): Attacks on Aid Operations, Education and Health Care",2016-[current year] BFA Attacks on Health Care Incident Data,Dataset covering 01 January 2016 to [to date] on [attacks on health care](https://insecurityinsight.org/projects/healthcare/monthlynewsbrief) based on agency- and open source events.
insecurity-insight-education-incidents,insecurity-insight-bfa-dataset,"Burkina Faso (BFA): Attacks on Aid Operations, Education and Health Care",2020-[current year] BFA Education in Danger Incident Data,Dataset covering 01 January 2020 to [to date] on [attacks on education](https://insecurityinsight.org/projects/education-in-danger/education-in-danger-monthly-news-brief) based on agency- and open source events.
insecurity-insight-aidworkerKIKA-incidents,insecurity-insight-caf-dataset,Central African Republic (CFA): Attacks on Aid Operations and Health Care,2020-[current year] CFA Aid Worker KIKA Incident Data,"Dataset covering 01 January 2020 to [to date] on aid workers [killed, injured, kidnapped, or arrested (KIKA)](https://insecurityinsight.org/projects/aid-in-danger/aid-security-digests) based on agency- and open source events."
insecurity-insight-healthcare-incidents,insecurity-insight-caf-dataset,Central African Republic (CFA): Attacks on Aid Operations and Health Care,2016-[current year] CFA Attacks on Health Care Incident Data,Dataset covering 01 January 2016 to [to date] on [attacks on health care](https://insecurityinsight.org/projects/healthcare/monthlynewsbrief) based on agency- and open source events.
